Paper_ID,Reference_No,Title,Year,Full_Reference
P010,10,"Toward the unification of generative and discriminative visual foundation model: A survey. The Visual Computer 41(5), 3371–3412 (2025) https://doi.org/10.1007/s00371-024-03608-8",2025,"Liu, X., Zhou, T.,Wang, C.,Wang, Y.,Wang, Y., Cao, Q., Du, W., Yang, Y., He, J., Qiao, Y., et al.: Toward the unification of generative and discriminative visual foundation model: A survey. The Visual Computer 41(5), 3371–3412 (2025) https://doi.org/10.1007/s00371-024-03608-8"
P011,11,"Probing the 3D awareness of visual foundation models. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 21795–21806 (2024)",2024,"El Banani, M., Raj, A., Maninis, K.-K., Kar, A., Li, Y., Rubinstein, M., Sun, D., Guibas, L., Johnson, J., Jampani, V.: Probing the 3D awareness of visual foundation models. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 21795–21806 (2024)"
P012,12,An investigation of visual foundation models robustness. arXiv preprint arXiv:2508.16225 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,"Sanjyal, A., et al.: An investigation of visual foundation models robustness. arXiv preprint arXiv:2508.16225 (2025). Preprint; peer-review status unconfirmed at time of submission"
P013,13,Visual-language foundation models in medicine: A survey. The Visual Computer (2024) https://doi.org/10.1007/s00371-024-03579-w 46,2024,"Zeng, Z., et al.: Visual-language foundation models in medicine: A survey. The Visual Computer (2024) https://doi.org/10.1007/s00371-024-03579-w 46"
P014,14,A survey of visual-language foundation models for enhancing virtual and augmented reality interactivity. The Visual Computer (2026) https: //doi.org/10.1007/s00371-025-04332-7,2026,"Yang, W., et al.: A survey of visual-language foundation models for enhancing virtual and augmented reality interactivity. The Visual Computer (2026) https: //doi.org/10.1007/s00371-025-04332-7"
P015,15,"3D gaussian splatting for real-time radiance field rendering. ACM Transactions on Graphics 42(4), 139–113914 (2023)",2023,"Kerbl, B., Kopanas, G., Leimk¨uhler, T., Drettakis, G.: 3D gaussian splatting for real-time radiance field rendering. ACM Transactions on Graphics 42(4), 139–113914 (2023)"
P016,16,"Attention is all you need. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 30 (2017)",2017,"Vaswani, A., Shazeer, N., Parmar, N., Uszkoreit, J., Jones, L., Gomez, A.N., Kaiser, L., Polosukhin, I.: Attention is all you need. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 30 (2017)"
P017,17,An image is worth 16×16 words: Transformers for image recognition at scale. In: International Conference on Learning Representations (ICLR) (2021),2021,"Dosovitskiy, A., Beyer, L., Kolesnikov, A., Weissenborn, D., Zhai, X., Unterthiner, T., Dehghani, M., Minderer, M., Heigold, G., Gelly, S., et al.: An image is worth 16×16 words: Transformers for image recognition at scale. In: International Conference on Learning Representations (ICLR) (2021)"
P018,18,"Emerging properties in self-supervised vision transformers. In: Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), pp. 9650–9660 (2021)",2021,"Caron, M., Touvron, H., Misra, I., J´egou, H., Mairal, J., Bojanowski, P., Joulin, A.: Emerging properties in self-supervised vision transformers. In: Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), pp. 9650–9660 (2021)"
P019,19,"Zero-shot text-to-image generation. In: Proceedings of the International Conference on Machine Learning (ICML), pp. 8821–8831. PMLR, ??? (2021)",2021,"Ramesh, A., Pavlov, M., Goh, G., Gray, S., Voss, C., Radford, A., Chen, M., Sutskever, I.: Zero-shot text-to-image generation. In: Proceedings of the International Conference on Machine Learning (ICML), pp. 8821–8831. PMLR, ??? (2021)"
P020,20,SAM 2: Segment anything in images and videos. In: Proceedings of the European Conference on Computer Vision (ECCV) (2024),2024,"Ravi, N., Gabeur, V., Hu, Y.-T., Hu, R., Ryali, C., Ma, T., Khedr, H., R¨adle, R., Rolland, C., Gustafson, L., et al.: SAM 2: Segment anything in images and videos. In: Proceedings of the European Conference on Computer Vision (ECCV) (2024)"
P021,21,"Masked autoencoders are scalable vision learners. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 16000–16009 (2022)",2022,"He, K., Chen, X., Xie, S., Li, Y., Doll´ar, P., Girshick, R.: Masked autoencoders are scalable vision learners. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 16000–16009 (2022)"
P022,22,Hierarchical text-conditional image generation with CLIP latents. arXiv preprint arXiv:2204.06125 (2022),2022,"Ramesh, A., Dhariwal, P., Nichol, A., Chu, C., Chen, M.: Hierarchical text-conditional image generation with CLIP latents. arXiv preprint arXiv:2204.06125 (2022)"
P023,23,Sora: Creating video from text (2024). Technical report,2024,OpenAI: Sora: Creating video from text (2024). Technical report
P024,24,"A survey of deep learning techniques for 3d object detection and scene understanding. IEEE Transactions on Neural Networks and Learning Systems 34(8), 3903–3922 (2023). Cited in Table 2 as a VC-specific survey covering 3D reconstruction and rendering 47",2023,"Cao, A.-Q., Johnson, J.: A survey of deep learning techniques for 3d object detection and scene understanding. IEEE Transactions on Neural Networks and Learning Systems 34(8), 3903–3922 (2023). Cited in Table 2 as a VC-specific survey covering 3D reconstruction and rendering 47"
P025,25,Vision-language models for vision tasks: A survey. IEEE Transactions on Pattern Analysis and Machine Intelligence (2024) https://doi.org/10.1109/TPAMI.2024.3369699,2024,"Zhang, J., Huang, J., Jin, S., Lu, S.: Vision-language models for vision tasks: A survey. IEEE Transactions on Pattern Analysis and Machine Intelligence (2024) https://doi.org/10.1109/TPAMI.2024.3369699"
P026,26,RenderFM: A foundation model for real-time photorealistic volumetric rendering. arXiv preprint arXiv:2505.17338 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,"Gao, Z., Zheng, M., Planche, B., Choudhuri, A., Chen, T., Wu, Z.: RenderFM: A foundation model for real-time photorealistic volumetric rendering. arXiv preprint arXiv:2505.17338 (2025). Preprint; peer-review status unconfirmed at time of submission"
P027,27,BLIP-2: Bootstrapping language-image pretraining with frozen image encoders and large language models. In: Proceedings of the International Conference on Machine Learning (ICML) (2023),2023,"Li, J., Li, D., Savarese, S., Hoi, S.: BLIP-2: Bootstrapping language-image pretraining with frozen image encoders and large language models. In: Proceedings of the International Conference on Machine Learning (ICML) (2023)"
P028,28,Let language constrain geometry: Vision-language models as semantic and spatial critics for 3D generation. arXiv preprint arXiv:2511.14271 (2025). Preprint; peer-review status unconfirmed at time of submission,2025,"Bai, W., Li, Y., Luo, W., Lai, Z., Wang, Y., Chen, W., Sun, H.: Let language constrain geometry: Vision-language models as semantic and spatial critics for 3D generation. arXiv preprint arXiv:2511.14271 (2025). Preprint; peer-review status unconfirmed at time of submission"
P029,29,Shap-E: Generating conditional 3D implicit functions. arXiv preprint arXiv:2305.02463 (2023),2023,"Jun, H., Nichol, A.: Shap-E: Generating conditional 3D implicit functions. arXiv preprint arXiv:2305.02463 (2023)"
P030,30,"InstructBLIP: Towards general-purpose vision-language models with instruction tuning. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)",2023,"Dai, W., Li, J., Li, D., Tiong, A.M.H., Zhao, J., Wang, W., Li, B., Fung, P., Hoi, S.: InstructBLIP: Towards general-purpose vision-language models with instruction tuning. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)"
P031,31,DreamFusion: Text-to-3D using 2D diffusion. In: International Conference on Learning Representations (ICLR) (2023),2023,"Poole, B., Jain, A., Barron, J.T., Mildenhall, B.: DreamFusion: Text-to-3D using 2D diffusion. In: International Conference on Learning Representations (ICLR) (2023)"
P032,32,"Zero-1-to-3: Zero-shot one image to 3D object. In: Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), pp. 9298–9309 (2023)",2023,"Liu, R., Wu, R., Van Hoorick, B., Tokmakov, P., Zakharov, S., Vondrick, C.: Zero-1-to-3: Zero-shot one image to 3D object. In: Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), pp. 9298–9309 (2023)"
P033,33,"Microsoft COCO: Common objects in context. In: Proceedings of the European Conference on Computer Vision (ECCV), pp. 740–755 (2014)",2014,"Lin, T.-Y., Maire, M., Belongie, S., Hays, J., Perona, P., Ramanan, D., Doll´ar, P., Zitnick, C.L.: Microsoft COCO: Common objects in context. In: Proceedings of the European Conference on Computer Vision (ECCV), pp. 740–755 (2014)"
P034,34,"GLIDE: Towards photorealistic image generation and editing with text-guided diffusion models. In: Proceedings of the International Conference on Machine Learning (ICML), pp. 16784–16804 (2022)",2022,"Nichol, A., Dhariwal, P., Ramesh, A., Shyam, P., Mishkin, P., McGrew, B., Sutskever, I., Chen, M.: GLIDE: Towards photorealistic image generation and editing with text-guided diffusion models. In: Proceedings of the International Conference on Machine Learning (ICML), pp. 16784–16804 (2022)"
P035,35,"Photorealistic text-to-image diffusion models with deep language understanding. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 35, pp. 36479–36494 48 (2022)",2022,"Saharia, C., Chan, W., Saxena, S., Li, L., Whang, J., Denton, E., Ghasemipour, S.K.S., Gontijo-Lopes, R., Karagol-Ayan, B., Salimans, T., et al.: Photorealistic text-to-image diffusion models with deep language understanding. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 35, pp. 36479–36494 48 (2022)"
P036,36,SDXL: Improving latent diffusion models for high-resolution image synthesis. In: International Conference on Learning Representations (ICLR) (2024),2024,"Podell, D., English, Z., Lacey, K., Blattmann, A., Dockhorn, T., M¨uller, J., Penna, J., Rombach, R.: SDXL: Improving latent diffusion models for high-resolution image synthesis. In: International Conference on Learning Representations (ICLR) (2024)"
P037,37,"Improving image generation with better captions (2023). Technical report, OpenAI",2023,"Betker, J., Goh, G., Jing, L., Brooks, T., Wang, J., Li, L., Ouyang, L., Zhuang, J., Lee, J., Guo, Y., et al.: Improving image generation with better captions (2023). Technical report, OpenAI"
P038,38,Scaling rectified flow transformers for high-resolution image synthesis. In: Proceedings of the International Conference on Machine Learning (ICML) (2024),2024,"Esser, P., Kulal, S.K.K., Blattmann, A., Entezari, R., M¨uller, J., Saini, H., Levi, Y., Lorenz, D., Sauer, A., Boesel, F., et al.: Scaling rectified flow transformers for high-resolution image synthesis. In: Proceedings of the International Conference on Machine Learning (ICML) (2024)"
P039,39,MMBench: Is your multi-modal model an all-around player? In: Proceedings of the European Conference on Computer Vision (ECCV) (2024),2024,"Liu, Y., Duan, H., Zhang, Y., Li, B., Zhang, S., Zhao, W., Yuan, Y.,Wang, J., He, C., Liu, Z., et al.: MMBench: Is your multi-modal model an all-around player? In: Proceedings of the European Conference on Computer Vision (ECCV) (2024)"
P040,40,Gemini: A family of highly capable multimodal models. arXiv preprint arXiv:2312.11805 (2023),2023,"Gemini Team, Google: Gemini: A family of highly capable multimodal models. arXiv preprint arXiv:2312.11805 (2023)"
P041,41,"Instant neural graphics primitives with a multiresolution hash encoding. ACM Transactions on Graphics 41(4), 102–110215 (2022)",2022,"M¨uller, T., Evans, A., Schied, C., Keller, A.: Instant neural graphics primitives with a multiresolution hash encoding. ACM Transactions on Graphics 41(4), 102–110215 (2022)"
P042,42,"CLIP-NeRF: Text-and-image driven manipulation of neural radiance fields. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 3835– 3844 (2022)",2022,"Wang, C., Chai, M., He, M., Chen, D., Liao, J.: CLIP-NeRF: Text-and-image driven manipulation of neural radiance fields. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 3835– 3844 (2022)"
P043,43,"Mip- NeRF 360: Unbounded anti-aliased neural radiance fields. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 5470–5479 (2022)",2022,"Barron, J.T., Mildenhall, B., Verbin, D., Srinivasan, P.P., Hedman, P.: Mip- NeRF 360: Unbounded anti-aliased neural radiance fields. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 5470–5479 (2022)"
P044,44,"Plenoxels: Radiance fields without neural networks. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 5501–5510 (2022)",2022,"Fridovich-Keil, S., Yu, A., Tancik, M., Chen, Q., Recht, B., Kanazawa, A.: Plenoxels: Radiance fields without neural networks. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 5501–5510 (2022)"
P045,45,Enhancing CLIP’s visual representation with fine-grained detail. In: International Conference on Learning Representations (ICLR) (2025),2025,"Sun, Z., et al.: Enhancing CLIP’s visual representation with fine-grained detail. In: International Conference on Learning Representations (ICLR) (2025)"
P046,46,"One-2-3-45: Any single image to 3D mesh in 45 seconds without per-shape optimization. In: 49 Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)",2023,"Liu, M., Xu, C., Jin, H., Chen, L., T., M.V., Xu, Z., Su, H.: One-2-3-45: Any single image to 3D mesh in 45 seconds without per-shape optimization. In: 49 Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)"
P047,47,"Magic3D: High-resolution text-to-3D content creation. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 300–309 (2023)",2023,"Lin, C.-H., Gao, J., Tang, L., Takikawa, T., Zeng, X., Huang, X., Kreis, K., Fidler, S., Liu, M.-Y., Lin, T.-Y.: Magic3D: High-resolution text-to-3D content creation. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 300–309 (2023)"
P048,48,Instant3D: Fast text-to-3D with sparse-view generation and large reconstruction model. In: International Conference on Learning Representations (ICLR) (2024),2024,"Li, J., Tan, H., Zhang, K., Xu, Z., Luan, F., Xu, Y., Zang, Y.,Wonka, P., Shi, H.: Instant3D: Fast text-to-3D with sparse-view generation and large reconstruction model. In: International Conference on Learning Representations (ICLR) (2024)"
P049,49,Motion- Diffuse: Text-driven human motion generation with diffusion model. (2024). arXiv:2208.15001,2024,"Zhang, M., Cai, Z., Pan, L., Hong, F., Guo, X., Yang, L., Liu, Z.: Motion- Diffuse: Text-driven human motion generation with diffusion model. (2024). arXiv:2208.15001"
P050,50,"Generating diverse and natural 3D human motions from text. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 5152– 5161 (2022)",2022,"Guo, C., Zou, S., Zuo, X.,Wang, S., Ji, W., Li, X., Cheng, L.: Generating diverse and natural 3D human motions from text. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 5152– 5161 (2022)"
P051,51,Human motion diffusion model. In: International Conference on Learning Representations (ICLR) (2023),2023,"Tevet, G., Raab, S., Gordon, B., Shafir, Y., Cohen-Or, D., Bermano, A.H.: Human motion diffusion model. In: International Conference on Learning Representations (ICLR) (2023)"
P052,52,"Executing your commands via motion diffusion in latent space. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 18000–18010 (2023)",2023,"Chen, X., Jiang, B., Liu, W., Huang, Z., Fu, B., Chen, T., Yu, G.: Executing your commands via motion diffusion in latent space. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 18000–18010 (2023)"
P053,53,"T2M-GPT: Generating human motion from textual descriptions with discrete representations. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 14730–14740 (2023)",2023,"Zhang, J., Zhang, Y., Liu, D., Liu, X., Shen, Y., He, R., Wang, Y., Yan, S.: T2M-GPT: Generating human motion from textual descriptions with discrete representations. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 14730–14740 (2023)"
P054,54,"AvatarCLIP: Zeroshot text-driven generation and animation of 3D avatars. ACM Transactions on Graphics 41(4), 161–116119 (2022)",2022,"Hong, F., Zhang, M., Pan, L., Cai, Z., Yang, L., Liu, Z.: AvatarCLIP: Zeroshot text-driven generation and animation of 3D avatars. ACM Transactions on Graphics 41(4), 161–116119 (2022)"
P055,55,"DreamHuman: Animatable 3D avatars from text. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)",2023,"Kolotouros, N., Alldieck, T., Zanfir, A., Bazavan, E.G., Fieraru, M., Sminchisescu, C.: DreamHuman: Animatable 3D avatars from text. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)"
P056,56,"TEMOS: Generating diverse human motions from textual descriptions. In: Proceedings of the European Conference on Computer Vision (ECCV), pp. 480–497 (2022)",2022,"Petrovich, M., Black, M.J., Varol, G.: TEMOS: Generating diverse human motions from textual descriptions. In: Proceedings of the European Conference on Computer Vision (ECCV), pp. 480–497 (2022)"
P057,57,Grounding DINO: Marrying DINO with grounded pre-training for open-set object detection. In: Proceedings of the European Conference on Computer Vision (ECCV) (2024),2024,"Liu, S., Zeng, Z., Ren, T., Li, F., Zhang, H., Yang, J., Li, C., Yang, J., 50 Su, H., Zhu, J., Zhang, L.: Grounding DINO: Marrying DINO with grounded pre-training for open-set object detection. In: Proceedings of the European Conference on Computer Vision (ECCV) (2024)"
P058,58,Grounding DINO 1.5: Advance the “edge” of open-set object detection. arXiv preprint arXiv:2405.10300 (2024). Preprint; peer-review status unconfirmed at time of submission,2024,"Ren, T., Liu, S., Zeng, Z., Lin, J., Li, K., Cao, H., Chen, J., Huang, X., Chen, Y., Yan, F., et al.: Grounding DINO 1.5: Advance the “edge” of open-set object detection. arXiv preprint arXiv:2405.10300 (2024). Preprint; peer-review status unconfirmed at time of submission"
P059,59,Grounded SAM: Assembling open-world models for diverse visual tasks. arXiv preprint arXiv:2401.14159 (2024). Preprint; peer-review status unconfirmed at time of submission,2024,"Ren, T., et al.: Grounded SAM: Assembling open-world models for diverse visual tasks. arXiv preprint arXiv:2401.14159 (2024). Preprint; peer-review status unconfirmed at time of submission"
P060,60,"FC-CLIP: An all-in-one framework for contrastive language-image pretraining for dense prediction. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)",2023,"Yu, J., Feng, C., Jiang, B., Zhao, H., Liu, Z., Zhang, H., Torr, P.: FC-CLIP: An all-in-one framework for contrastive language-image pretraining for dense prediction. In: Advances in Neural Information Processing Systems (NeurIPS), vol. 36 (2023)"
P061,61,"Masked-attention mask transformer for universal image segmentation. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 1290–1299 (2022)",2022,"Cheng, B., Misra, I., Schwing, A.G., Kirillov, A., Girdhar, R.: Masked-attention mask transformer for universal image segmentation. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 1290–1299 (2022)"
P062,62,"Vision transformers for dense prediction. In: Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), pp. 12179–12188 (2021)",2021,"Ranftl, R., Bochkovskiy, A., Koltun, V.: Vision transformers for dense prediction. In: Proceedings of the IEEE/CVF International Conference on Computer Vision (ICCV), pp. 12179–12188 (2021)"
P063,63,ZoeDepth: Zeroshot transfer by combining relative and metric depth. arXiv preprint arXiv:2302.12288 (2023),2023,"Bhat, S.F., Birkl, R., Wofk, D., Wonka, P., M¨uller, M.: ZoeDepth: Zeroshot transfer by combining relative and metric depth. arXiv preprint arXiv:2302.12288 (2023)"
P064,64,"Depth anything: Unleashing the power of large-scale unlabeled data. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 10371–10381 (2024)",2024,"Yang, L., Kang, B., Huang, Z., Xu, X., Feng, J., Zhao, H.: Depth anything: Unleashing the power of large-scale unlabeled data. In: Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR), pp. 10371–10381 (2024)"
